"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 18, 2018","1,999.50","2,005.00","2,010.80","1,997.35","658.04K","-0.13%"
"Jul 17, 2018","2,002.15","1,987.95","2,008.50","1,981.00","3.32M","0.65%"
"Jul 16, 2018","1,989.20","1,990.00","1,996.00","1,977.45","2.58M","0.41%"
"Jul 13, 2018","1,981.10","1,975.00","1,997.90","1,974.00","4.15M","0.49%"
"Jul 12, 2018","1,971.35","1,984.00","1,990.90","1,960.50","6.92M","-0.43%"
"Jul 11, 2018","1,979.90","1,900.00","1,998.00","1,894.15","22.90M","5.59%"
"Jul 10, 2018","1,875.10","1,898.00","1,898.90","1,870.75","5.30M","-0.42%"
"Jul 09, 2018","1,883.00","1,924.00","1,924.40","1,876.50","6.15M","-1.57%"
"Jul 06, 2018","1,912.95","1,882.85","1,921.00","1,881.65","3.71M","1.74%"
"Jul 05, 2018","1,880.30","1,873.00","1,887.50","1,862.10","2.47M","0.76%"
"Jul 04, 2018","1,866.15","1,879.90","1,879.90","1,857.15","2.70M","-0.42%"
"Jul 03, 2018","1,874.05","1,859.95","1,879.90","1,857.05","3.24M","1.23%"
"Jul 02, 2018","1,851.35","1,852.00","1,857.80","1,841.10","2.65M","0.19%"
"Jun 29, 2018","1,847.75","1,844.90","1,867.40","1,842.30","3.51M","0.27%"
"Jun 28, 2018","1,842.70","1,865.00","1,871.00","1,826.30","4.89M","-0.82%"
"Jun 27, 2018","1,858.00","1,860.00","1,885.15","1,851.25","4.08M","0.32%"
"Jun 26, 2018","1,852.00","1,823.00","1,861.00","1,821.00","4.68M","1.80%"
"Jun 25, 2018","1,819.25","1,811.90","1,822.35","1,806.00","2.08M","0.52%"
"Jun 22, 2018","1,809.80","1,827.00","1,827.00","1,799.55","2.95M","-0.52%"
"Jun 21, 2018","1,819.35","1,832.00","1,832.00","1,817.60","2.91M","-0.17%"
"Jun 20, 2018","1,822.45","1,832.00","1,836.30","1,818.60","3.11M","-0.11%"
"Jun 19, 2018","1,824.50","1,822.15","1,839.00","1,821.00","3.25M","-0.25%"
"Jun 18, 2018","1,829.00","1,867.95","1,867.95","1,822.15","4.67M","-0.60%"
